species_safe_name	species_label	species_layer	included_in_orthogroup_backbone	included_in_51_species_atlas	selection_status	selection_reason	candidate_module_count	candidate_functions	resource_layers	recommended_workflow	underground_organ_category	major_clade	resource_status	notes
Colocasia_esculenta	Colocasia esculenta	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	corm	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Dioscorea_rotundata	Dioscorea rotundata	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	7	XTH / xyloglucan cell-wall remodeling; Cell_wall_remodeling; Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; NAC-like transcriptional regulator; Developmental_TF; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	tuber	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Fragaria_vesca	Fragaria vesca	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	stolon_crown	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Ipomoea_batatas	Ipomoea batatas	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Medicago_sativa	Medicago sativa	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	root_crown	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Mimulus_guttatus	Mimulus guttatus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Miscanthus_floridulus	Miscanthus floridulus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Musa_acuminata	Musa acuminata	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	7	Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; XTH / xyloglucan cell-wall remodeling; Cell_wall_remodeling; NAC-like transcriptional regulator; Developmental_TF; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome_corm	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Panicum_virgatum	Panicum virgatum	both_51_species_atlas_and_11_species_backbone	yes	yes	selected_for_backbone	Selected for high-confidence orthogroup backbone.	7	XTH / xyloglucan cell-wall remodeling; Cell_wall_remodeling; NAC-like transcriptional regulator; Developmental_TF; Early nodulin-like meristem/regrowth candidate; Meristem_bud_regrowth; Carotenoid cleavage dioxygenase / hormone-related regulation; Hormone_regulation; Non-symbiotic hemoglobin / stress-resilience candidate; Stress_resilience; bHLH-like transcriptional regulator	broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome_crown	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Phyllostachys_edulis	Phyllostachys edulis	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Raphanus_sativus	Raphanus sativus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Sorghum_halepense	Sorghum halepense	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Allium_sativum	Allium sativum	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	bulb	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Ananas_comosus	Ananas comosus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	crown_sucker	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Arabidopsis_halleri	Arabidopsis halleri	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome_crown	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Brachypodium_sylvaticum	Brachypodium sylvaticum	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome_crown	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Cichorium_intybus	Cichorium intybus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	taproot	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Dioscorea_alata	Dioscorea alata	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	tuber	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Helianthus_tuberosus	Helianthus tuberosus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	tuber	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Lilium_longiflorum	Lilium longiflorum	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	bulb	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Nymphaea_colorata	Nymphaea colorata	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Phragmites_australis	Phragmites australis	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Saccharum_spontaneum	Saccharum spontaneum	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome_bud	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Taraxacum_kok-saghyz	Taraxacum kok-saghyz	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	taproot	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Trifolium_pratense	Trifolium pratense	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	root_crown_taproot	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Trifolium_repens	Trifolium repens	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	stolon	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Xanthosoma_sagittifolium	Xanthosoma sagittifolium	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	corm	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Zizania_latifolia	Zizania latifolia	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Agave_tequilana	Agave tequilana	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome_basal_shoot	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Apios_americana	Apios americana	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	tuber	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Arracacia_xanthorrhiza	Arracacia xanthorrhiza	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Crocus_sativus	Crocus sativus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	corm	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Glycyrrhiza_uralensis	Glycyrrhiza uralensis	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	rhizome_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Pachyrhizus_erosus	Pachyrhizus erosus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Smallanthus_sonchifolius	Smallanthus sonchifolius	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	storage_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Tulipa_gesneriana	Tulipa gesneriana	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	bulb	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Cyclamen_persicum	Cyclamen persicum	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	tuber	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Dahlia_pinnata	Dahlia pinnata	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	tuberous_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Eutrema_salsugineum	Eutrema salsugineum	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	root_crown	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Gladiolus_hybridus	Gladiolus hybridus	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	corm	Monocot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
Paeonia_lactiflora	Paeonia lactiflora	51_species_broader_resource_atlas	no	yes	retained_as_broader_resource_or_expansion_species	Retained in broader underground-organ resource atlas; not forced into orthogroup backbone because resource completeness/annotation compatibility may vary.			broader species atlas; resource finder context; future expansion layer	Use as broader resource context; map genes/proteins through closest available UGO workflows where appropriate.	root_crown_tuberous_root	Eudicot	broader_resource_layer	Broader atlas species supports underground-organ diversity/resource landscape and future expansion.
