gene_id	protein_id	ugo_protein_id	species	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
LOC104884289	Beta_vulgaris|gene=LOC104884289|len=1094|source=XP_010667214.1	UGOseq_000001283	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104884449	Beta_vulgaris|gene=LOC104884449|len=1275|source=XP_010667399.1	UGOseq_000001422	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104884598	Beta_vulgaris|gene=LOC104884598|len=303|source=XP_010667584.1	UGOseq_000001556	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104884643	Beta_vulgaris|gene=LOC104884643|len=843|source=XP_010667631.1	UGOseq_000001589	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104884644	Beta_vulgaris|gene=LOC104884644|len=189|source=XP_010667632.1	UGOseq_000001590	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104884775	Beta_vulgaris|gene=LOC104884775|len=977|source=XP_010667771.1	UGOseq_000001698	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104885085	Beta_vulgaris|gene=LOC104885085|len=204|source=XP_010668092.1	UGOseq_000001952	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104885130	Beta_vulgaris|gene=LOC104885130|len=398|source=XP_010668138.1	UGOseq_000001983	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104885285	Beta_vulgaris|gene=LOC104885285|len=359|source=XP_010668282.1	UGOseq_000002104	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104885320	Beta_vulgaris|gene=LOC104885320|len=372|source=XP_010668318.1	UGOseq_000002137	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104885412	Beta_vulgaris|gene=LOC104885412|len=359|source=XP_010668408.1	UGOseq_000002205	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104886236	Beta_vulgaris|gene=LOC104886236|len=545|source=XP_010669008.1	UGOseq_000002745	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104886259	Beta_vulgaris|gene=LOC104886259|len=237|source=XP_010669027.1	UGOseq_000002764	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104886272	Beta_vulgaris|gene=LOC104886272|len=294|source=XP_010669038.1	UGOseq_000002772	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104886281	Beta_vulgaris|gene=LOC104886281|len=299|source=XP_010669044.1	UGOseq_000002775	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104886467	Beta_vulgaris|gene=LOC104886467|len=335|source=XP_010669216.1	UGOseq_000002914	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104886862	Beta_vulgaris|gene=LOC104886862|len=505|source=XP_019103678.1	UGOseq_000003261	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104886926	Beta_vulgaris|gene=LOC104886926|len=329|source=XP_010669782.1	UGOseq_000003321	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104886993	Beta_vulgaris|gene=LOC104886993|len=1547|source=XP_010669873.1	UGOseq_000003383	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104887082	Beta_vulgaris|gene=LOC104887082|len=133|source=XP_010669970.1	UGOseq_000003459	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104887340	Beta_vulgaris|gene=LOC104887340|len=183|source=XP_010670258.1	UGOseq_000003672	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104887469	Beta_vulgaris|gene=LOC104887469|len=308|source=XP_010670401.1	UGOseq_000003783	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104887622	Beta_vulgaris|gene=LOC104887622|len=549|source=XP_010670595.1	UGOseq_000003924	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104888584	Beta_vulgaris|gene=LOC104888584|len=1373|source=XP_010671909.1	UGOseq_000004830	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104888903	Beta_vulgaris|gene=LOC104888903|len=303|source=XP_010672318.1	UGOseq_000005103	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104889112	Beta_vulgaris|gene=LOC104889112|len=259|source=XP_010672558.1	UGOseq_000005288	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104889168	Beta_vulgaris|gene=LOC104889168|len=1709|source=XP_010672625.1	UGOseq_000005339	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104889315	Beta_vulgaris|gene=LOC104889315|len=352|source=XP_010672812.1	UGOseq_000005471	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104889333	Beta_vulgaris|gene=LOC104889333|len=824|source=XP_010672830.1	UGOseq_000005486	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104889595	Beta_vulgaris|gene=LOC104889595|len=708|source=XP_010673155.1	UGOseq_000005726	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104889755	Beta_vulgaris|gene=LOC104889755|len=1001|source=XP_010673355.1	UGOseq_000005881	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104890294	Beta_vulgaris|gene=LOC104890294|len=989|source=XP_010674016.1	UGOseq_000006387	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104890473	Beta_vulgaris|gene=LOC104890473|len=1103|source=XP_010674286.1	UGOseq_000006556	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104890735	Beta_vulgaris|gene=LOC104890735|len=1375|source=XP_010674612.1	UGOseq_000006793	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104890943	Beta_vulgaris|gene=LOC104890943|len=169|source=XP_010674863.1	UGOseq_000006985	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104891289	Beta_vulgaris|gene=LOC104891289|len=308|source=XP_010675260.1	UGOseq_000007281	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104891378	Beta_vulgaris|gene=LOC104891378|len=96|source=XP_010675365.1	UGOseq_000007359	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104891549	Beta_vulgaris|gene=LOC104891549|len=267|source=XP_010675556.1	UGOseq_000007512	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104891936	Beta_vulgaris|gene=LOC104891936|len=1342|source=XP_010676026.1	UGOseq_000007858	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104892032	Beta_vulgaris|gene=LOC104892032|len=436|source=XP_010676147.2	UGOseq_000007945	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104892675	Beta_vulgaris|gene=LOC104892675|len=917|source=XP_010676966.1	UGOseq_000008544	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104892705	Beta_vulgaris|gene=LOC104892705|len=832|source=XP_010676995.1	UGOseq_000008568	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104892729	Beta_vulgaris|gene=LOC104892729|len=1059|source=XP_010677018.1	UGOseq_000008584	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104892865	Beta_vulgaris|gene=LOC104892865|len=1103|source=XP_010677188.1	UGOseq_000008707	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104892909	Beta_vulgaris|gene=LOC104892909|len=649|source=XP_010677236.1	UGOseq_000008747	Beta_vulgaris	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104892995	Beta_vulgaris|gene=LOC104892995|len=470|source=XP_010677327.1	UGOseq_000008823	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104893281	Beta_vulgaris|gene=LOC104893281|len=623|source=XP_010677682.1	UGOseq_000009064	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104893292	Beta_vulgaris|gene=LOC104893292|len=1373|source=XP_010677694.1	UGOseq_000009074	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104893339	Beta_vulgaris|gene=LOC104893339|len=323|source=XP_010677737.1	UGOseq_000009113	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104893430	Beta_vulgaris|gene=LOC104893430|len=280|source=XP_010677840.1	UGOseq_000009193	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104893489	Beta_vulgaris|gene=LOC104893489|len=191|source=XP_010677896.1	UGOseq_000009235	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104893595	Beta_vulgaris|gene=LOC104893595|len=831|source=XP_010678024.1	UGOseq_000009327	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104893741	Beta_vulgaris|gene=LOC104893741|len=262|source=XP_010678175.1	UGOseq_000009440	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104893796	Beta_vulgaris|gene=LOC104893796|len=421|source=XP_010678233.2	UGOseq_000009479	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104893961	Beta_vulgaris|gene=LOC104893961|len=365|source=XP_010678406.1	UGOseq_000009611	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104894083	Beta_vulgaris|gene=LOC104894083|len=1224|source=XP_010678551.1	UGOseq_000009727	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104894690	Beta_vulgaris|gene=LOC104894690|len=1373|source=XP_010679283.1	UGOseq_000010271	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104895320	Beta_vulgaris|gene=LOC104895320|len=327|source=XP_010680090.1	UGOseq_000010865	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104896166	Beta_vulgaris|gene=LOC104896166|len=329|source=XP_010681186.1	UGOseq_000011641	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896167	Beta_vulgaris|gene=LOC104896167|len=308|source=XP_010681188.1	UGOseq_000011642	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896248	Beta_vulgaris|gene=LOC104896248|len=744|source=XP_010681266.1	UGOseq_000011714	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC104896378	Beta_vulgaris|gene=LOC104896378|len=253|source=XP_010681427.1	UGOseq_000011827	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC104896405	Beta_vulgaris|gene=LOC104896405|len=838|source=XP_010681457.1	UGOseq_000011851	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
