ugo_protein_id	search_database_header	species	gene_id	protein_id	raw_input_header	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
UGOseq_000001283	UGOseq_000001283|species=Beta_vulgaris|gene=LOC104884289|protein=Beta_vulgaris|gene=LOC104884289|len=1094|source=XP_010667214.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884289	Beta_vulgaris|gene=LOC104884289|len=1094|source=XP_010667214.1	Beta_vulgaris|gene=LOC104884289|len=1094|source=XP_010667214.1 PREDICTED: uncharacterized protein LOC104884289 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001422	UGOseq_000001422|species=Beta_vulgaris|gene=LOC104884449|protein=Beta_vulgaris|gene=LOC104884449|len=1275|source=XP_010667399.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884449	Beta_vulgaris|gene=LOC104884449|len=1275|source=XP_010667399.1	Beta_vulgaris|gene=LOC104884449|len=1275|source=XP_010667399.1 PREDICTED: uncharacterized protein LOC104884449 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001556	UGOseq_000001556|species=Beta_vulgaris|gene=LOC104884598|protein=Beta_vulgaris|gene=LOC104884598|len=303|source=XP_010667584.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884598	Beta_vulgaris|gene=LOC104884598|len=303|source=XP_010667584.1	Beta_vulgaris|gene=LOC104884598|len=303|source=XP_010667584.1 PREDICTED: uncharacterized protein LOC104884598 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001589	UGOseq_000001589|species=Beta_vulgaris|gene=LOC104884643|protein=Beta_vulgaris|gene=LOC104884643|len=843|source=XP_010667631.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884643	Beta_vulgaris|gene=LOC104884643|len=843|source=XP_010667631.1	Beta_vulgaris|gene=LOC104884643|len=843|source=XP_010667631.1 PREDICTED: uncharacterized protein LOC104884643 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001590	UGOseq_000001590|species=Beta_vulgaris|gene=LOC104884644|protein=Beta_vulgaris|gene=LOC104884644|len=189|source=XP_010667632.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884644	Beta_vulgaris|gene=LOC104884644|len=189|source=XP_010667632.1	Beta_vulgaris|gene=LOC104884644|len=189|source=XP_010667632.1 PREDICTED: uncharacterized protein LOC104884644 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001698	UGOseq_000001698|species=Beta_vulgaris|gene=LOC104884775|protein=Beta_vulgaris|gene=LOC104884775|len=977|source=XP_010667771.1|orthogroup=OG0000139	Beta_vulgaris	LOC104884775	Beta_vulgaris|gene=LOC104884775|len=977|source=XP_010667771.1	Beta_vulgaris|gene=LOC104884775|len=977|source=XP_010667771.1 PREDICTED: uncharacterized protein LOC104884775 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001952	UGOseq_000001952|species=Beta_vulgaris|gene=LOC104885085|protein=Beta_vulgaris|gene=LOC104885085|len=204|source=XP_010668092.1|orthogroup=OG0000139	Beta_vulgaris	LOC104885085	Beta_vulgaris|gene=LOC104885085|len=204|source=XP_010668092.1	Beta_vulgaris|gene=LOC104885085|len=204|source=XP_010668092.1 PREDICTED: uncharacterized protein LOC104885085 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000001983	UGOseq_000001983|species=Beta_vulgaris|gene=LOC104885130|protein=Beta_vulgaris|gene=LOC104885130|len=398|source=XP_010668138.1|orthogroup=OG0000154	Beta_vulgaris	LOC104885130	Beta_vulgaris|gene=LOC104885130|len=398|source=XP_010668138.1	Beta_vulgaris|gene=LOC104885130|len=398|source=XP_010668138.1 PREDICTED: uncharacterized protein LOC104885130 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002104	UGOseq_000002104|species=Beta_vulgaris|gene=LOC104885285|protein=Beta_vulgaris|gene=LOC104885285|len=359|source=XP_010668282.1|orthogroup=OG0000154	Beta_vulgaris	LOC104885285	Beta_vulgaris|gene=LOC104885285|len=359|source=XP_010668282.1	Beta_vulgaris|gene=LOC104885285|len=359|source=XP_010668282.1 PREDICTED: uncharacterized protein LOC104885285, partial [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002137	UGOseq_000002137|species=Beta_vulgaris|gene=LOC104885320|protein=Beta_vulgaris|gene=LOC104885320|len=372|source=XP_010668318.1|orthogroup=OG0000154	Beta_vulgaris	LOC104885320	Beta_vulgaris|gene=LOC104885320|len=372|source=XP_010668318.1	Beta_vulgaris|gene=LOC104885320|len=372|source=XP_010668318.1 PREDICTED: uncharacterized protein LOC104885320 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002205	UGOseq_000002205|species=Beta_vulgaris|gene=LOC104885412|protein=Beta_vulgaris|gene=LOC104885412|len=359|source=XP_010668408.1|orthogroup=OG0000154	Beta_vulgaris	LOC104885412	Beta_vulgaris|gene=LOC104885412|len=359|source=XP_010668408.1	Beta_vulgaris|gene=LOC104885412|len=359|source=XP_010668408.1 PREDICTED: uncharacterized protein LOC104885412, partial [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002745	UGOseq_000002745|species=Beta_vulgaris|gene=LOC104886236|protein=Beta_vulgaris|gene=LOC104886236|len=545|source=XP_010669008.1|orthogroup=OG0000154	Beta_vulgaris	LOC104886236	Beta_vulgaris|gene=LOC104886236|len=545|source=XP_010669008.1	Beta_vulgaris|gene=LOC104886236|len=545|source=XP_010669008.1 PREDICTED: uncharacterized protein LOC104886236, partial [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002764	UGOseq_000002764|species=Beta_vulgaris|gene=LOC104886259|protein=Beta_vulgaris|gene=LOC104886259|len=237|source=XP_010669027.1|orthogroup=OG0000154	Beta_vulgaris	LOC104886259	Beta_vulgaris|gene=LOC104886259|len=237|source=XP_010669027.1	Beta_vulgaris|gene=LOC104886259|len=237|source=XP_010669027.1 PREDICTED: uncharacterized protein LOC104886259 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002772	UGOseq_000002772|species=Beta_vulgaris|gene=LOC104886272|protein=Beta_vulgaris|gene=LOC104886272|len=294|source=XP_010669038.1|orthogroup=OG0000154	Beta_vulgaris	LOC104886272	Beta_vulgaris|gene=LOC104886272|len=294|source=XP_010669038.1	Beta_vulgaris|gene=LOC104886272|len=294|source=XP_010669038.1 PREDICTED: uncharacterized protein LOC104886272 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002775	UGOseq_000002775|species=Beta_vulgaris|gene=LOC104886281|protein=Beta_vulgaris|gene=LOC104886281|len=299|source=XP_010669044.1|orthogroup=OG0000154	Beta_vulgaris	LOC104886281	Beta_vulgaris|gene=LOC104886281|len=299|source=XP_010669044.1	Beta_vulgaris|gene=LOC104886281|len=299|source=XP_010669044.1 PREDICTED: uncharacterized protein LOC104886281 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000002914	UGOseq_000002914|species=Beta_vulgaris|gene=LOC104886467|protein=Beta_vulgaris|gene=LOC104886467|len=335|source=XP_010669216.1|orthogroup=OG0000154	Beta_vulgaris	LOC104886467	Beta_vulgaris|gene=LOC104886467|len=335|source=XP_010669216.1	Beta_vulgaris|gene=LOC104886467|len=335|source=XP_010669216.1 PREDICTED: uncharacterized protein LOC104886467, partial [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000003261	UGOseq_000003261|species=Beta_vulgaris|gene=LOC104886862|protein=Beta_vulgaris|gene=LOC104886862|len=505|source=XP_019103678.1|orthogroup=OG0000154	Beta_vulgaris	LOC104886862	Beta_vulgaris|gene=LOC104886862|len=505|source=XP_019103678.1	Beta_vulgaris|gene=LOC104886862|len=505|source=XP_019103678.1 PREDICTED: uncharacterized protein LOC104886862 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000003321	UGOseq_000003321|species=Beta_vulgaris|gene=LOC104886926|protein=Beta_vulgaris|gene=LOC104886926|len=329|source=XP_010669782.1|orthogroup=OG0000139	Beta_vulgaris	LOC104886926	Beta_vulgaris|gene=LOC104886926|len=329|source=XP_010669782.1	Beta_vulgaris|gene=LOC104886926|len=329|source=XP_010669782.1 PREDICTED: uncharacterized protein LOC104886926 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000003383	UGOseq_000003383|species=Beta_vulgaris|gene=LOC104886993|protein=Beta_vulgaris|gene=LOC104886993|len=1547|source=XP_010669873.1|orthogroup=OG0000139	Beta_vulgaris	LOC104886993	Beta_vulgaris|gene=LOC104886993|len=1547|source=XP_010669873.1	Beta_vulgaris|gene=LOC104886993|len=1547|source=XP_010669873.1 PREDICTED: uncharacterized protein LOC104886993 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000003459	UGOseq_000003459|species=Beta_vulgaris|gene=LOC104887082|protein=Beta_vulgaris|gene=LOC104887082|len=133|source=XP_010669970.1|orthogroup=OG0000154	Beta_vulgaris	LOC104887082	Beta_vulgaris|gene=LOC104887082|len=133|source=XP_010669970.1	Beta_vulgaris|gene=LOC104887082|len=133|source=XP_010669970.1 PREDICTED: CCHC-type zinc finger protein CG3800-like [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000003672	UGOseq_000003672|species=Beta_vulgaris|gene=LOC104887340|protein=Beta_vulgaris|gene=LOC104887340|len=183|source=XP_010670258.1|orthogroup=OG0000139	Beta_vulgaris	LOC104887340	Beta_vulgaris|gene=LOC104887340|len=183|source=XP_010670258.1	Beta_vulgaris|gene=LOC104887340|len=183|source=XP_010670258.1 PREDICTED: uncharacterized protein LOC104887340 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000003783	UGOseq_000003783|species=Beta_vulgaris|gene=LOC104887469|protein=Beta_vulgaris|gene=LOC104887469|len=308|source=XP_010670401.1|orthogroup=OG0000139	Beta_vulgaris	LOC104887469	Beta_vulgaris|gene=LOC104887469|len=308|source=XP_010670401.1	Beta_vulgaris|gene=LOC104887469|len=308|source=XP_010670401.1 PREDICTED: uncharacterized protein LOC104887469 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000003924	UGOseq_000003924|species=Beta_vulgaris|gene=LOC104887622|protein=Beta_vulgaris|gene=LOC104887622|len=549|source=XP_010670595.1|orthogroup=OG0000139	Beta_vulgaris	LOC104887622	Beta_vulgaris|gene=LOC104887622|len=549|source=XP_010670595.1	Beta_vulgaris|gene=LOC104887622|len=549|source=XP_010670595.1 PREDICTED: uncharacterized protein LOC104887622 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000004830	UGOseq_000004830|species=Beta_vulgaris|gene=LOC104888584|protein=Beta_vulgaris|gene=LOC104888584|len=1373|source=XP_010671909.1|orthogroup=OG0000139	Beta_vulgaris	LOC104888584	Beta_vulgaris|gene=LOC104888584|len=1373|source=XP_010671909.1	Beta_vulgaris|gene=LOC104888584|len=1373|source=XP_010671909.1 PREDICTED: uncharacterized protein LOC104888584 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000005103	UGOseq_000005103|species=Beta_vulgaris|gene=LOC104888903|protein=Beta_vulgaris|gene=LOC104888903|len=303|source=XP_010672318.1|orthogroup=OG0000139	Beta_vulgaris	LOC104888903	Beta_vulgaris|gene=LOC104888903|len=303|source=XP_010672318.1	Beta_vulgaris|gene=LOC104888903|len=303|source=XP_010672318.1 PREDICTED: uncharacterized protein LOC104888903 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000005288	UGOseq_000005288|species=Beta_vulgaris|gene=LOC104889112|protein=Beta_vulgaris|gene=LOC104889112|len=259|source=XP_010672558.1|orthogroup=OG0000139	Beta_vulgaris	LOC104889112	Beta_vulgaris|gene=LOC104889112|len=259|source=XP_010672558.1	Beta_vulgaris|gene=LOC104889112|len=259|source=XP_010672558.1 PREDICTED: uncharacterized protein LOC104889112 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000005339	UGOseq_000005339|species=Beta_vulgaris|gene=LOC104889168|protein=Beta_vulgaris|gene=LOC104889168|len=1709|source=XP_010672625.1|orthogroup=OG0000139	Beta_vulgaris	LOC104889168	Beta_vulgaris|gene=LOC104889168|len=1709|source=XP_010672625.1	Beta_vulgaris|gene=LOC104889168|len=1709|source=XP_010672625.1 PREDICTED: uncharacterized protein LOC104889168 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000005471	UGOseq_000005471|species=Beta_vulgaris|gene=LOC104889315|protein=Beta_vulgaris|gene=LOC104889315|len=352|source=XP_010672812.1|orthogroup=OG0000154	Beta_vulgaris	LOC104889315	Beta_vulgaris|gene=LOC104889315|len=352|source=XP_010672812.1	Beta_vulgaris|gene=LOC104889315|len=352|source=XP_010672812.1 PREDICTED: uncharacterized protein LOC104889315 [Beta vulgaris subsp. vulgaris]	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000005486	UGOseq_000005486|species=Beta_vulgaris|gene=LOC104889333|protein=Beta_vulgaris|gene=LOC104889333|len=824|source=XP_010672830.1|orthogroup=OG0000139	Beta_vulgaris	LOC104889333	Beta_vulgaris|gene=LOC104889333|len=824|source=XP_010672830.1	Beta_vulgaris|gene=LOC104889333|len=824|source=XP_010672830.1 PREDICTED: uncharacterized protein LOC104889333 [Beta vulgaris subsp. vulgaris]	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
