Table_part	V0_6_Orthogroup	Mapped_9species_Orthogroup	Representative_function	Benchmark_module	Candidate_tier	Species	Gene_count	Present	Notes
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Beta	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Brassica	8	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Musa	13	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Carrot	7	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Cassava	6	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Lotus	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Oryza	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Potato	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000665	OG0000273	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	Ginger	13	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Beta	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Brassica	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Musa	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Carrot	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Cassava	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Lotus	10	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Oryza	6	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Potato	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000729	OG0000863	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	Ginger	6	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Beta	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Brassica	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Musa	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Carrot	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Cassava	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Lotus	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Oryza	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Potato	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004936	OG0004958	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	Ginger	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Beta	0	False	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Brassica	0	False	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Musa	17	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Carrot	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Cassava	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Lotus	0	False	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Oryza	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Potato	0	False	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0000885	OG0000767	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	Ginger	18	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Beta	5	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Brassica	5	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Musa	18	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Carrot	6	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Cassava	7	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Lotus	6	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Oryza	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Potato	5	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0004093	OG0000139	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	Ginger	24	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Beta	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Brassica	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Musa	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Carrot	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Cassava	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Lotus	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Oryza	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Potato	1	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0006254	OG0006937	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	Ginger	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Beta	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Brassica	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Musa	3	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Carrot	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Cassava	4	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Lotus	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Oryza	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Potato	2	True	Figure 6 species-level candidate traceability source row.
Figure6_species_gene_count_source	OG0003573	OG0003725	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	Ginger	2	True	Figure 6 species-level candidate traceability source row.
